kepid,koi_disposition,maxFlux,minFlux,meanFlux,p2pFlux,varianceFlux
4275739,FALSE POSITIVE,1.007029927,0.976147496,0.998807172,0.030882431,9.04E-06
4276114,FALSE POSITIVE,1.011551771,0.990935758,0.999216117,0.020616013,5.84E-06
4276445,FALSE POSITIVE,1.000259131,0.99969044,1.00000326,0.000568691,4.68E-09
4278221,CONFIRMED,1.001095916,0.99588991,0.999996206,0.005206006,9.51E-08
4281023,FALSE POSITIVE,1.000267165,0.999680883,1.000001701,0.000586282,5.70E-09
4281068,FALSE POSITIVE,1.002301714,0.997146679,0.999922979,0.005155035,2.44E-06
4281700,FALSE POSITIVE,1.00018588,0.999816221,1.000004069,0.000369659,3.51E-09
4281895,FALSE POSITIVE,1.000657107,0.987869504,0.998941668,0.012787603,1.02E-05
4282191,CONFIRMED,1.000142425,0.999260194,0.999997204,0.000882231,4.87E-09
4282872,CONFIRMED,1.000224863,0.99919674,0.999974342,0.001028123,2.10E-08
4284147,FALSE POSITIVE,1.000426738,0.999598399,1.000009553,0.000828339,1.67E-08
4284980,FALSE POSITIVE,1.000540841,0.999203009,1.00000773,0.001337832,1.39E-08
4285087,FALSE POSITIVE,1.005715476,0.943687151,0.989231402,0.062028325,0.000400948
4285107,FALSE POSITIVE,1.000206238,0.999879833,1.000002775,0.000326405,1.41E-09
4346178,CONFIRMED,1.009367434,0.972414059,0.999831108,0.036953375,4.46E-06
4346875,FALSE POSITIVE,1.005385447,0.959165399,0.996226852,0.046220048,0.000103566
4349452,CONFIRMED,1.000045231,0.999804116,0.999994918,0.000241116,7.44E-10
4349935,FALSE POSITIVE,1.002314562,0.997860345,1.000002512,0.004454217,2.87E-08
4352168,FALSE POSITIVE,1.002231195,0.878629852,0.993878309,0.123601343,0.000490884
4355503,FALSE POSITIVE,1.00397155,0.997884676,1.000127386,0.006086875,4.68E-07
4356621,FALSE POSITIVE,1.00015299,0.999860378,1.000001973,0.000292613,2.17E-09
4356766,FALSE POSITIVE,1.002855234,0.973620437,0.99684646,0.029234796,3.85E-05
4357985,FALSE POSITIVE,1.0002419,0.999821682,1.000008167,0.000420217,4.69E-09
4365442,FALSE POSITIVE,1.000083285,0.999930464,1.00000151,0.00015282,4.82E-10
4365461,FALSE POSITIVE,1.00317018,0.970304981,0.992781693,0.032865198,0.000126796
4365645,CONFIRMED,1.000155099,0.999793701,1.000001971,0.000361399,1.62E-09
4366923,FALSE POSITIVE,1.000738308,0.999822136,1.000010431,0.000916172,7.40E-09
4367528,FALSE POSITIVE,1.000290359,0.999464837,1.000006279,0.000825522,5.87E-09
4367544,FALSE POSITIVE,1.002858413,0.995973263,0.999531931,0.00688515,1.90E-06
4370527,CONFIRMED,1.000903931,0.999492852,1.000015463,0.001411079,2.33E-08
4371172,FALSE POSITIVE,1.001942037,0.996113932,0.999999655,0.005828105,4.58E-07
4372410,FALSE POSITIVE,1.000916076,0.998954364,0.999999397,0.001961712,1.98E-07
4372765,FALSE POSITIVE,1.004006238,0.900241894,0.996143545,0.103764344,0.000221528
4372768,FALSE POSITIVE,1.000349968,0.999676077,1.000009273,0.000673891,9.35E-09
4372961,FALSE POSITIVE,1.000159877,0.999797026,1.000000755,0.000362851,3.91E-09
4373195,FALSE POSITIVE,1.000011509,0.999935627,0.999999092,7.59E-05,4.04E-11
4374339,FALSE POSITIVE,1.000107856,0.999892498,1.000001235,0.000215358,1.59E-09
4374610,FALSE POSITIVE,1.000223365,0.999670884,1.0000026,0.000552481,6.65E-09
4375101,FALSE POSITIVE,1.001289531,0.873559983,0.998052633,0.127729547,0.000170172
4376629,FALSE POSITIVE,1.000140324,0.999875311,1.000002635,0.000265013,1.01E-09
4376644,FALSE POSITIVE,1.000128572,0.999534149,0.999995315,0.000594424,3.79E-09
4380283,FALSE POSITIVE,1.010684981,0.938511967,0.976282879,0.072173014,0.000440489
4380560,FALSE POSITIVE,1.000607304,0.999367173,1.000003182,0.001240131,1.40E-08
4381282,FALSE POSITIVE,1.000391473,0.999672343,1.000009455,0.00071913,8.78E-09
4381429,CONFIRMED,1.000579074,0.999636969,1.000009634,0.000942105,1.75E-08
4384652,FALSE POSITIVE,1.000149178,0.999883257,1.000003408,0.000265922,1.39E-09
4384675,FALSE POSITIVE,1.00019606,0.998931108,1.000001684,0.001264953,6.33E-09
4384793,FALSE POSITIVE,1.007792435,0.998483515,1.000056679,0.009308919,3.17E-07
4386047,FALSE POSITIVE,1.005047922,0.957321182,0.994934009,0.04772674,0.000131525
4386059,FALSE POSITIVE,1.000105907,0.99990361,1.000002664,0.000202296,1.21E-09
4386607,FALSE POSITIVE,1.00041388,0.999583004,1.000010636,0.000830876,9.95E-09
4390912,FALSE POSITIVE,1.000585055,0.999570939,1.000002191,0.001014117,2.89E-08
4391348,FALSE POSITIVE,1.000223981,0.999829113,1.000005465,0.000394868,4.17E-09
4445630,FALSE POSITIVE,1.009718065,0.867066962,0.979663773,0.142651103,0.001803817
4446411,FALSE POSITIVE,1.008188066,0.991276229,0.999993003,0.016911837,1.64E-05
4449034,FALSE POSITIVE,1.000531021,0.999513049,1.000000818,0.001017972,8.00E-09
4449752,FALSE POSITIVE,1.000248838,0.999841676,1.0000023,0.000407161,1.43E-09
4454219,FALSE POSITIVE,1.007049621,0.982535743,0.996799799,0.024513878,4.06E-05
4454752,CONFIRMED,1.016067128,0.998057638,1.000097222,0.01800949,1.06E-06
4454934,CONFIRMED,1.000263203,0.99986357,1.000003673,0.000399634,1.88E-09
4455231,CONFIRMED,1.000213207,0.999746343,1.000001824,0.000466863,4.36E-09
